Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Class,Difference,Pooling
2024-02-23,09:48:12,0.699,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.2840650415819037e-09
2024-02-23,09:48:12,0.7099,26.5,24.25,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,2.2843989044269227e-09
2024-02-23,09:48:12,0.7209,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.2847969785210333e-09
2024-02-23,09:48:12,0.7316,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.285113856929331e-09
2024-02-23,09:48:12,0.7422,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.285311825295414e-09
2024-02-23,09:48:12,0.7531,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.2854083015655553e-09
2024-02-23,09:48:12,0.7641,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2854393855051124e-09
2024-02-23,09:48:12,0.7749,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2854396603852077e-09
2024-02-23,09:48:12,0.7855,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2854336612631203e-09
2024-02-23,09:48:12,0.7963,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.2854336629504046e-09
2024-02-23,09:48:12,0.807,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2854396556245984e-09
2024-02-23,09:48:12,0.8178,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.285439345397812e-09
2024-02-23,09:48:12,0.8286,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.28540818152439e-09
2024-02-23,09:48:12,0.8395,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.2853115760501156e-09
2024-02-23,09:48:12,0.8504,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.285113450042257e-09
2024-02-23,09:48:12,0.8612,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.284796452852805e-09
2024-02-23,09:48:12,0.8719,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.2843984344699268e-09
2024-02-23,09:48:12,0.8827,26.5,24.25,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,2.2840650147822453e-09
2024-02-23,09:48:12,0.9043,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.284106938704939e-09
2024-02-23,09:48:12,0.9151,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.2850314773370396e-09
2024-02-23,09:48:12,0.926,26.5,24.25,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,2.287490301851565e-09
2024-02-23,09:48:12,0.9369,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.292058962246751e-09
2024-02-23,09:48:12,0.9477,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.298752485520108e-09
2024-02-23,09:48:12,0.9584,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.3062183024205486e-09
2024-02-23,09:48:12,0.9692,26.5,24.25,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,2.310675021968057e-09
2024-02-23,09:48:12,0.9802,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.30492917962623e-09
2024-02-23,09:48:12,0.9909,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.278223566333752e-09
2024-02-23,09:48:12,1.0018,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.2181991826775085e-09
2024-02-23,09:48:12,1.0126,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.1166949955385927e-09
2024-02-23,09:48:12,1.0233,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,1.9810537475349615e-09
2024-02-23,09:48:13,1.0341,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,1.851376163319087e-09
2024-02-23,09:48:13,1.0447,26.5,24.25,3426,15000499.0,2.139483756266366e-05,0,-593.6050513575567,1.7957159859169943e-09
2024-02-23,09:48:13,1.0555,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,1.8513761649311472e-09
2024-02-23,09:48:13,1.0663,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,1.9810537512860788e-09
2024-02-23,09:48:13,1.0771,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.1166950021519794e-09
2024-02-23,09:48:13,1.0878,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.218199192347255e-09
2024-02-23,09:48:13,1.0987,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.2782235775413465e-09
2024-02-23,09:48:13,1.1097,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.3049291875690685e-09
2024-02-23,09:48:13,1.1204,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.3106750170063274e-09
2024-02-23,09:48:13,1.1312,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.3062182695264563e-09
2024-02-23,09:48:13,1.142,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.2987524064781312e-09
2024-02-23,09:48:13,1.1527,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.292058823061265e-09
2024-02-23,09:48:13,1.1635,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.287490107921178e-09
2024-02-23,09:48:13,1.1741,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2850312775258724e-09
2024-02-23,09:48:13,1.1849,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.28410685523606e-09
2024-02-23,09:48:13,1.1957,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.2840652676993206e-09
2024-02-23,09:48:13,1.2065,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.2843993369542292e-09
2024-02-23,09:48:13,1.2171,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.2847983390007144e-09
2024-02-23,09:48:13,1.2279,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.2851164862380193e-09
2024-02-23,09:48:13,1.2387,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.285315413644763e-09
2024-02-23,09:48:13,1.2496,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.2854114521041025e-09
2024-02-23,09:48:13,1.2605,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.2854391046392127e-09
2024-02-23,09:48:13,1.2711,26.5,24.25,3428,15000499.0,2.13265079025198e-05,0,-592.5800909908694,2.2854310661181957e-09
2024-02-23,09:48:13,1.2818,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.285410463234719e-09
2024-02-23,09:48:13,1.2926,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.285390232854931e-09
2024-02-23,09:48:13,1.3033,26.5,24.25,3427,15000500.0,2.136064541050373e-05,0,-594.0921613367095,2.285375614828499e-09
2024-02-23,09:48:13,1.3141,26.5,24.25,3428,15000500.0,2.13265079025198e-05,0,-593.5800909908694,2.2853672578424075e-09
2024-02-23,09:48:13,1.3249,26.5,24.25,3428,15000498.0,2.13265079025198e-05,0,-591.5800909908694,2.2853637403149173e-09
2024-02-23,09:48:13,1.3357,26.5,24.25,3428,15000497.0,2.13265079025198e-05,0,-590.5800909908694,2.2853631696267934e-09
2024-02-23,09:48:13,1.3465,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.285363969382364e-09
2024-02-23,09:48:13,1.3573,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.285365119068357e-09
2024-02-23,09:48:13,1.3683,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2853661029966536e-09
2024-02-23,09:48:13,1.379,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2853667530152972e-09
