Image Path,Cluster Label
./image_data\channel_1_partial\DD240216W1_ECOKCOKAZ_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_ECOKIYI_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240216W1_EIYI_80P_2_3rd.jpg,0
./image_data\channel_1_partial\DD240216W1_E_YAYGINDAMLA_I11_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_10CPSTWITHTW_1_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_10CPST_1_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_10CPST_25C_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_10CPST_37C_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_20P_M2_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_40P_15C_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_40P_25C_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_40P_25C_B4_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_40P_AT20C_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_40P_TESTLATE_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_60P_25_J10_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_60P_C10_NOTVERYGOOD_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_60P_E7_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_60P_L4_3rd.jpg,2
./image_data\channel_1_partial\DD240401W1_80P_25C_I9_3rd.jpg,0
./image_data\channel_1_partial\DD240401W1_80P_I8_3rd.jpg,0
./image_data\channel_1_partial\DD240401W1_BSA157_3rd.jpg,1
./image_data\channel_1_partial\DD240401W1_HIGG200_G4_3rd.jpg,0
./image_data\channel_1_partial\DD240401W1_HIGG200_L5_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_20P_F4_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_40P_B3_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_40P_E10_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_40P_E3_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_60P_D11_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_80P_E11_3rd.jpg,2
./image_data\channel_1_partial\DD240401_W1_80P_K1_3rd.jpg,0
./image_data\channel_1_partial\DD240402W1_BSA157_3_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_10CPST_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_20P_C9_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_20P_G2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_20P_I12_3rd.jpg,1
./image_data\channel_1_partial\DD240409W1_20P_M5_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_40PLATETEST_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_40P_25C_I8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_40P_C4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_40P_J8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_40P_M6_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_4CPST_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_4CPST_2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_60P_25C_F8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_60P_I6_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_60P_K3_3rd.jpg,0
./image_data\channel_1_partial\DD240409W1_60P_L2_3rd.jpg,2
./image_data\channel_1_partial\dd240409w1_80p_25c_g8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_80P_D10_3rd.jpg,0
./image_data\channel_1_partial\DD240409W1_80P_F2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_BSA157_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_BSA157_3_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_BSA1MG_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_BSATEST_2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_EL4_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_EL4_2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_HIGG200_I11_3rd.jpg,0
./image_data\channel_1_partial\DD240409W1_HIGG_E8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_PBS_1_3rd.jpg,1
./image_data\channel_1_partial\DD240409W1_VOYBUF_4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_VOYBUF_B2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_VOYBUF_B5_3rd.jpg,1
./image_data\channel_1_partial\DD240409W1_VOYBUF_C7_3rd.jpg,2
./image_data\channel_1_partial\DD240409W1_VOYBUF_I10_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_C4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_C7_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_E8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_G11_3rd.jpg,1
./image_data\channel_1_partial\DD240409W2_20P_J5_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_K2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_20P_WEIRD_D6_3rd.jpg,2
./image_data\channel_1_partial\dd240409w2_40p_25c_i12_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_B6_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_C10_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_D3_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_D8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_D9_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_I4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_L3_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_M1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_40P_M3_3rd.jpg,2
./image_data\channel_1_partial\dd240409w2_60p_25c_k4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_60P_F8_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_60P_G1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_60P_G5_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_60P_I8_3rd.jpg,2
./image_data\channel_1_partial\dd240409w2_80p_25_e10_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_80P_E2_3rd.jpg,3
./image_data\channel_1_partial\DD240409W2_80P_I5_3rd.jpg,0
./image_data\channel_1_partial\DD240409W2_BSA157_2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_BSA157_3_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_BSA157_I6_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_BSA182NOTW_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_BSAFILT182_1_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_BSANOTW182_2_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_F10_HGG200_3rd.jpg,0
./image_data\channel_1_partial\DD240409W2_HIGG200_B4_3rd.jpg,3
./image_data\channel_1_partial\DD240409W2_HIGG_G9_3rd.jpg,3
./image_data\channel_1_partial\DD240409W2_VOYBUF_D11_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_VOYBUF_F4_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_VOYBUF_J11_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_VOYBUF_K6_3rd.jpg,2
./image_data\channel_1_partial\DD240409W2_VOYBUF_L7_3rd.jpg,1
./image_data\channel_1_partial\DD240419W1_20P_B1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_20P_B2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_20P_B3_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_20P_B4_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_20P_G1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_20P_G2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_40P_B2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_40P_B3_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_40P_BK1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_40P_G1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_40P_G2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_60P_B1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_60P_B2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_60P_B3_3rd.jpg,0
./image_data\channel_1_partial\DD240419W1_60P_G1_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_60P_G2_3rd.jpg,2
./image_data\channel_1_partial\DD240419W1_80P_B2_3rd.jpg,0
./image_data\channel_1_partial\DD240419W1_80P_B_USEONLY2LINES_3rd.jpg,0
./image_data\channel_1_partial\DD240419W1_80P_G1_3rd.jpg,0
./image_data\channel_1_partial\DD240419W1_80P_G2_3rd.jpg,0
./image_data\channel_1_partial\DD240613W2_4CP_B2_3rd.jpg,2
./image_data\channel_1_partial\DD240613W2_4CP_G4_3rd.jpg,2
./image_data\channel_1_partial\DD240613W2_4CP_I9_3rd.jpg,2
./image_data\channel_1_partial\M231106W9_YGIRISNOKTA_60P_K6_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_1.6CP_I6_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_1.6CP_J9_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_1.6CP_K5_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_10CP_I9_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_10CP_J11_3rd.jpg,0
./image_data\channel_1_partial\M24062511A_10CP_K1_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_35CP_J2_3rd.jpg,3
./image_data\channel_1_partial\M24062511A_35CP_M1_3rd.jpg,3
./image_data\channel_1_partial\M24062511A_35CP_M5_3rd.jpg,3
./image_data\channel_1_partial\M24062511A_4CP_I1_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_4CP_I2_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_4CP_I8_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_4CP_L3_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_4CP_L5_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_6CP_I5_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_6CP_I7_3rd.jpg,2
./image_data\channel_1_partial\M24062511A_6CP_J5_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_1.6CP_C1_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_1.6CP_C3_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_1.6CP_E5_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_10CP_D7_3rd.jpg,0
./image_data\channel_1_partial\M24062511B_10CP_E9_3rd.jpg,0
./image_data\channel_1_partial\M24062511B_10CP_F7_3rd.jpg,0
./image_data\channel_1_partial\M24062511B_35CP_A1_3rd.jpg,3
./image_data\channel_1_partial\M24062511B_35CP_D5_3rd.jpg,3
./image_data\channel_1_partial\M24062511B_35CP_F5_3rd.jpg,3
./image_data\channel_1_partial\M24062511B_4CP_B3_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_4CP_D2_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_4CP_F4_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_4CP_F6_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_4CP_G1_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_6CP_E10_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_6CP_E7_3rd.jpg,2
./image_data\channel_1_partial\M24062511B_6CP_G5_3rd.jpg,2
./image_data\channel_1_partial\M240625W1_IGG200PBS_E11_3rd.jpg,2
./image_data\channel_1_partial\M240625W1_IGG200PBS_K3_3rd.jpg,2
./image_data\channel_1_partial\M240625W2_IGG200PBS_M2_3rd.jpg,2
./image_data\channel_1_partial\M240625W3_10CP_L5_3rd.jpg,2
./image_data\channel_1_partial\M240625W3_E2_3rd.jpg,0
./image_data\channel_1_partial\M240625W5_1.6CP_C5_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_1.6CP_E4_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_1.6CP_F10_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_1.6CP_F12_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_1.6CP_J2_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_10CP_C4_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_10CP_C6_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_10CP_I7_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_A1_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_A2_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_A3_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_A4_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_A6_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_C7_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_D7_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_E2_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_F3_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_F6_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_F8_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_G11_3rd.jpg,0
./image_data\channel_1_partial\M240625W5_4CP_G12_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_I1_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_K2_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_M5_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_4CP_M6_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_6CP_F9_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_6CP_G1_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_6CP_L1_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_80P_C2_3rd.jpg,0
./image_data\channel_1_partial\M240625W5_80P_D6_3rd.jpg,3
./image_data\channel_1_partial\M240625W5_80P_K5_3rd.jpg,0
./image_data\channel_1_partial\M240625W5_BSA100PBS_B1_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_BSA100PBS_B3_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_BSA200PBS_K3_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_BSA200PBS_L8_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_IGG20PBS_J6_3rd.jpg,0
./image_data\channel_1_partial\M240625W5_IGG20PBS_L7_3rd.jpg,3
./image_data\channel_1_partial\M240625W5_PBS_E6_3rd.jpg,2
./image_data\channel_1_partial\M240625W5_PBS_J7_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_1.6CP_J10_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_10CP_A3_3rd.jpg,0
./image_data\channel_1_partial\M240625W6_10CP_A4_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_10CP_G12_3rd.jpg,0
./image_data\channel_1_partial\M240625W6_10CP_M5_3rd.jpg,3
./image_data\channel_1_partial\M240625W6_4CP_A1_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_4CP_A2_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_4CP_M1_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_4CP_M4_3rd.jpg,0
./image_data\channel_1_partial\M240625W6_BSA100PBS_E6_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA100PBS_L2_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA140_D5_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA140_D7_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA200PBS_D11_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA200PBS_K8_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA70_F1_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_BSA70_I6_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_IGG200PBS_J2_3rd.jpg,0
./image_data\channel_1_partial\M240625W6_IGG200PBS_L8_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_PBS_B5_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_PBS_D4_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_PBS_J5_3rd.jpg,2
./image_data\channel_1_partial\M240625W6_PBS_K7_3rd.jpg,2
./image_data\channel_1_partial\M240625W7S_4CP_B5_3rd.jpg,2
./image_data\channel_1_partial\M240625W7S_4CP_C6_3rd.jpg,2
